,reaction_id,rxn_smiles,products_run,PatentNumber
192,128533,[Br:1][Br:2].[Cl:3][c:4]1[cH:5][cH:6][c:7](-[c:8]2[n:9]([CH3:10])[c:11]([C:12]([F:13])([F:14])[F:15])[cH:16][c:17]2[C:18]#[N:19])[cH:20][cH:21]1>ClC1C=CC=CC=1.C(OCC)(=O)C.O>[Br:2][c:16]1[c:11]([C:12]([F:13])([F:14])[F:15])[n:9]([CH3:10])[c:8](-[c:7]2[cH:6][cH:5][c:4]([Cl:3])[cH:21][cH:20]2)[c:17]1[C:18]#[N:19],[Br:2][c:16]1[c:11]([C:12]([F:13])([F:14])[F:15])[n:9]([CH3:10])[c:8](-[c:7]2[cH:6][cH:5][c:4]([Cl:3])[cH:21][cH:20]2)[c:17]1[C:18]#[N:19].[Br:2][c:21]1[c:4]([Cl:3])[cH:5][cH:6][c:7](-[c:8]2[n:9]([CH3:10])[c:11]([C:12]([F:13])([F:14])[F:15])[cH:16][c:17]2[C:18]#[N:19])[cH:20]1.[Br:2][c:20]1[c:7](-[c:8]2[n:9]([CH3:10])[c:11]([C:12]([F:13])([F:14])[F:15])[cH:16][c:17]2[C:18]#[N:19])[cH:6][cH:5][c:4]([Cl:3])[cH:21]1,US05144041
193,128819,[Br:1][Br:2].[S:3]1[c:4]2[cH:5][cH:6][cH:7][c:8]3[c:9]2[N:10]([C:11](=[O:12])[C:13]3=[O:14])[CH2:15][CH2:16]1>C(O)(=O)C>[Br:2][c:6]1[cH:5][c:4]2[c:9]3[c:8]([cH:7]1)[C:13](=[O:14])[C:11](=[O:12])[N:10]3[CH2:15][CH2:16][S:3]2,[Br:2][c:6]1[cH:5][c:4]2[c:9]3[c:8]([cH:7]1)[C:13](=[O:14])[C:11](=[O:12])[N:10]3[CH2:15][CH2:16][S:3]2.[Br:2][c:5]1[c:4]2[c:9]3[c:8]([cH:7][cH:6]1)[C:13](=[O:14])[C:11](=[O:12])[N:10]3[CH2:15][CH2:16][S:3]2.[Br:2][c:7]1[cH:6][cH:5][c:4]2[c:9]3[c:8]1[C:13](=[O:14])[C:11](=[O:12])[N:10]3[CH2:15][CH2:16][S:3]2,US05147874
194,129206,[Br:1][Br:2].[nH:3]1[c:4]2[c:5]([cH:6][cH:7][cH:8][cH:9]2)[n:10][cH:11][c:12]1=[O:13]>CC(O)=O>[Br:2][c:8]1[cH:7][cH:6][c:5]2[c:4]([nH:3][c:12](=[O:13])[cH:11][n:10]2)[cH:9]1,[Br:2][c:8]1[cH:7][cH:6][c:5]2[c:4]([nH:3][c:12](=[O:13])[cH:11][n:10]2)[cH:9]1.[Br:2][c:9]1[c:4]2[nH:3][c:12](=[O:13])[cH:11][n:10][c:5]2[cH:6][cH:7][cH:8]1.[Br:2][c:6]1[c:5]2[c:4]([nH:3][c:12](=[O:13])[cH:11][n:10]2)[cH:9][cH:8][cH:7]1.[Br:2][c:7]1[cH:6][c:5]2[c:4]([nH:3][c:12](=[O:13])[cH:11][n:10]2)[cH:9][cH:8]1.[Br:2][c:11]1[n:10][c:5]2[c:4]([nH:3][c:12]1=[O:13])[cH:9][cH:8][cH:7][cH:6]2,US05153196
195,129972,[CH3:1][O:2][c:3]1[cH:4][c:5]([C:6]#[N:7])[cH:8][cH:9][c:10]1[O:11][CH3:12].[N+:13]([O-:14])([OH:15])=[O:16]>>[CH3:1][O:2][c:3]1[cH:4][c:5]([C:6]#[N:7])[c:8]([N+:13]([O-:14])=[O:16])[cH:9][c:10]1[O:11][CH3:12],[CH3:1][O:2][c:3]1[cH:4][c:5]([C:6]#[N:7])[c:8]([N+:13]([O-:14])=[O:16])[cH:9][c:10]1[O:11][CH3:12].[CH3:1][O:2][c:3]1[c:4]([N+:13]([O-:14])=[O:16])[c:5]([C:6]#[N:7])[cH:8][cH:9][c:10]1[O:11][CH3:12].[CH3:1][O:2][c:3]1[cH:4][c:5]([C:6]#[N:7])[cH:8][c:9]([N+:13]([O-:14])=[O:16])[c:10]1[O:11][CH3:12],US05158953
196,129490,[C:1]([Cl:2])([Cl:3])([Cl:4])[Cl:5].[Cl:6][c:7]1[cH:8][cH:9][c:10]2[n:11]([cH:12][cH:13][n:14]2)[n:15]1>>[Cl:2][c:12]1[n:11]2[c:10]([cH:9][cH:8][c:7]([Cl:6])[n:15]2)[n:14][cH:13]1,[Cl:2][c:12]1[n:11]2[c:10]([cH:9][cH:8][c:7]([Cl:6])[n:15]2)[n:14][cH:13]1.[Cl:2][c:13]1[cH:12][n:11]2[c:10]([cH:9][cH:8][c:7]([Cl:6])[n:15]2)[n:14]1,US05155108
197,131733,[F:1][c:2]1[cH:3][c:4]([C:5](=[O:6])[CH3:7])[cH:8][cH:9][cH:10]1.[N+:11]([O-:12])([OH:13])=[O:14]>>[F:1][c:2]1[cH:3][c:4]([C:5](=[O:6])[CH3:7])[c:8]([N+:11]([O-:13])=[O:14])[cH:9][cH:10]1,[F:1][c:2]1[cH:3][c:4]([C:5](=[O:6])[CH3:7])[c:8]([N+:11]([O-:13])=[O:14])[cH:9][cH:10]1.[F:1][c:2]1[c:3]([N+:11]([O-:13])=[O:14])[c:4]([C:5](=[O:6])[CH3:7])[cH:8][cH:9][cH:10]1.[F:1][c:2]1[cH:3][c:4]([C:5](=[O:6])[CH3:7])[cH:8][cH:9][c:10]1[N+:11]([O-:13])=[O:14].[F:1][c:2]1[cH:3][c:4]([C:5](=[O:6])[CH3:7])[cH:8][c:9]([N+:11]([O-:13])=[O:14])[cH:10]1,US05176737
198,131845,[Br:1][Br:2].[OH:3][c:4]1[c:5]2[c:6]([cH:7][cH:8][cH:9][cH:10]2)[cH:11][cH:12][n:13]1>C(Cl)Cl>[Br:2][c:11]1[c:6]2[c:5]([c:4]([OH:3])[n:13][cH:12]1)[cH:10][cH:9][cH:8][cH:7]2,[Br:2][c:11]1[c:6]2[c:5]([c:4]([OH:3])[n:13][cH:12]1)[cH:10][cH:9][cH:8][cH:7]2.[Br:2][c:10]1[c:5]2[c:4]([OH:3])[n:13][cH:12][cH:11][c:6]2[cH:7][cH:8][cH:9]1.[Br:2][c:7]1[c:6]2[c:5]([c:4]([OH:3])[n:13][cH:12][cH:11]2)[cH:10][cH:9][cH:8]1.[Br:2][c:8]1[cH:7][c:6]2[c:5]([c:4]([OH:3])[n:13][cH:12][cH:11]2)[cH:10][cH:9]1.[Br:2][c:9]1[cH:8][cH:7][c:6]2[c:5]([c:4]([OH:3])[n:13][cH:12][cH:11]2)[cH:10]1.[Br:2][c:12]1[cH:11][c:6]2[c:5]([c:4]([OH:3])[n:13]1)[cH:10][cH:9][cH:8][cH:7]2,US05177075
199,131846,[Br:1][Br:2].[CH3:3][c:4]1[cH:5][cH:6][cH:7][c:8]2[c:9]1[cH:10][cH:11][nH:12][c:13]2=[O:14]>C(Cl)Cl.CCOCC>[Br:2][c:10]1[c:9]2[c:4]([CH3:3])[cH:5][cH:6][cH:7][c:8]2[c:13](=[O:14])[nH:12][cH:11]1,[Br:2][c:10]1[c:9]2[c:4]([CH3:3])[cH:5][cH:6][cH:7][c:8]2[c:13](=[O:14])[nH:12][cH:11]1.[Br:2][c:5]1[c:4]([CH3:3])[c:9]2[c:8]([cH:7][cH:6]1)[c:13](=[O:14])[nH:12][cH:11][cH:10]2.[Br:2][c:6]1[cH:5][c:4]([CH3:3])[c:9]2[c:8]([cH:7]1)[c:13](=[O:14])[nH:12][cH:11][cH:10]2.[Br:2][c:7]1[cH:6][cH:5][c:4]([CH3:3])[c:9]2[c:8]1[c:13](=[O:14])[nH:12][cH:11][cH:10]2.[Br:2][c:11]1[cH:10][c:9]2[c:4]([CH3:3])[cH:5][cH:6][cH:7][c:8]2[c:13](=[O:14])[nH:12]1,US05177075
200,134254,[CH3:1][O:2][c:3]1[cH:4][c:5]([CH2:6][C:7]([OH:8])=[O:9])[cH:10][cH:11][c:12]1[O:13][CH3:14].[N+:15]([O-:16])([OH:17])=[O:18]>CCOCC.C(O)(=O)C>[CH3:1][O:2][c:3]1[cH:4][c:5]([CH2:6][C:7]([OH:8])=[O:9])[c:10]([N+:15]([O-:17])=[O:18])[cH:11][c:12]1[O:13][CH3:14],[CH3:1][O:2][c:3]1[cH:4][c:5]([CH2:6][C:7]([OH:8])=[O:9])[c:10]([N+:15]([O-:17])=[O:18])[cH:11][c:12]1[O:13][CH3:14].[CH3:1][O:2][c:3]1[c:4]([N+:15]([O-:17])=[O:18])[c:5]([CH2:6][C:7]([OH:8])=[O:9])[cH:10][cH:11][c:12]1[O:13][CH3:14].[CH3:1][O:2][c:3]1[cH:4][c:5]([CH2:6][C:7]([OH:8])=[O:9])[cH:10][c:11]([N+:15]([O-:17])=[O:18])[c:12]1[O:13][CH3:14],US05200404
201,132780,[Br:1][Br:2].[F:3][C:4]([F:5])([F:6])[CH2:7][NH:8][c:9]1[cH:10][cH:11][cH:12][cH:13][c:14]1[N+:15]([O-:16])=[O:17]>C(O)(=O)C>[Br:2][c:12]1[cH:11][cH:10][c:9]([NH:8][CH2:7][C:4]([F:3])([F:5])[F:6])[c:14]([N+:15]([O-:16])=[O:17])[cH:13]1,[Br:2][c:12]1[cH:11][cH:10][c:9]([NH:8][CH2:7][C:4]([F:3])([F:5])[F:6])[c:14]([N+:15]([O-:16])=[O:17])[cH:13]1.[Br:2][c:10]1[c:9]([NH:8][CH2:7][C:4]([F:3])([F:5])[F:6])[c:14]([N+:15]([O-:16])=[O:17])[cH:13][cH:12][cH:11]1.[Br:2][c:11]1[cH:10][c:9]([NH:8][CH2:7][C:4]([F:3])([F:5])[F:6])[c:14]([N+:15]([O-:16])=[O:17])[cH:13][cH:12]1.[Br:2][c:13]1[cH:12][cH:11][cH:10][c:9]([NH:8][CH2:7][C:4]([F:3])([F:5])[F:6])[c:14]1[N+:15]([O-:16])=[O:17],US05186716
202,133174,[Br:1][N:2]1[C:3](=[O:4])[CH2:5][CH2:6][C:7]1=[O:8].[CH3:9][n:10]1[c:11]([C:12]([F:13])([F:14])[F:15])[cH:16][c:17]([O:18][c:19]2[cH:20][cH:21][c:22]([N+:23]([O-:24])=[O:25])[c:26]([N+:27]([O-:28])=[O:29])[cH:30]2)[n:31]1>C(O)(=O)C.C(OC(=O)C)(=O)C>[Br:1][c:16]1[c:11]([C:12]([F:13])([F:14])[F:15])[n:10]([CH3:9])[n:31][c:17]1[O:18][c:19]1[cH:20][cH:21][c:22]([N+:23]([O-:24])=[O:25])[c:26]([N+:27]([O-:28])=[O:29])[cH:30]1,[Br:1][c:16]1[c:11]([C:12]([F:13])([F:14])[F:15])[n:10]([CH3:9])[n:31][c:17]1[O:18][c:19]1[cH:20][cH:21][c:22]([N+:23]([O-:24])=[O:25])[c:26]([N+:27]([O-:28])=[O:29])[cH:30]1.[Br:1][c:20]1[c:19]([O:18][c:17]2[cH:16][c:11]([C:12]([F:13])([F:14])[F:15])[n:10]([CH3:9])[n:31]2)[cH:30][c:26]([N+:27]([O-:28])=[O:29])[c:22]([N+:23]([O-:24])=[O:25])[cH:21]1.[Br:1][c:30]1[c:19]([O:18][c:17]2[cH:16][c:11]([C:12]([F:13])([F:14])[F:15])[n:10]([CH3:9])[n:31]2)[cH:20][cH:21][c:22]([N+:23]([O-:24])=[O:25])[c:26]1[N+:27]([O-:28])=[O:29].[Br:1][c:21]1[cH:20][c:19]([O:18][c:17]2[cH:16][c:11]([C:12]([F:13])([F:14])[F:15])[n:10]([CH3:9])[n:31]2)[cH:30][c:26]([N+:27]([O-:28])=[O:29])[c:22]1[N+:23]([O-:24])=[O:25],US05190574
203,134388,[CH3:1][NH:2][c:3]1[cH:4][cH:5][c:6]2[c:7]3[c:8]([cH:9][cH:10][cH:11][c:12]13)[C:13](=[O:14])[N:15]([CH:16]1[CH2:17][CH2:18][N:19]([CH3:20])[CH2:21][CH2:22]1)[C:23]2=[O:24].[Cl:25][N:26]1[C:27](=[O:28])[CH2:29][CH2:30][C:31]1=[O:32]>CN(C)C=O>[CH3:1][NH:2][c:3]1[c:4]([Cl:25])[cH:5][c:6]2[c:7]3[c:8]([cH:9][cH:10][cH:11][c:12]13)[C:13](=[O:14])[N:15]([CH:16]1[CH2:17][CH2:18][N:19]([CH3:20])[CH2:21][CH2:22]1)[C:23]2=[O:24],[CH3:1][NH:2][c:3]1[c:4]([Cl:25])[cH:5][c:6]2[c:7]3[c:8]([cH:9][cH:10][cH:11][c:12]13)[C:13](=[O:14])[N:15]([CH:16]1[CH2:17][CH2:18][N:19]([CH3:20])[CH2:21][CH2:22]1)[C:23]2=[O:24].[CH3:1][NH:2][c:3]1[cH:4][c:5]([Cl:25])[c:6]2[c:7]3[c:8]([cH:9][cH:10][cH:11][c:12]13)[C:13](=[O:14])[N:15]([CH:16]1[CH2:17][CH2:18][N:19]([CH3:20])[CH2:21][CH2:22]1)[C:23]2=[O:24].[CH3:1][NH:2][c:3]1[cH:4][cH:5][c:6]2[c:7]3[c:8]([c:9]([Cl:25])[cH:10][cH:11][c:12]13)[C:13](=[O:14])[N:15]([CH:16]1[CH2:17][CH2:18][N:19]([CH3:20])[CH2:21][CH2:22]1)[C:23]2=[O:24].[CH3:1][NH:2][c:3]1[cH:4][cH:5][c:6]2[c:7]3[c:8]([cH:9][c:10]([Cl:25])[cH:11][c:12]13)[C:13](=[O:14])[N:15]([CH:16]1[CH2:17][CH2:18][N:19]([CH3:20])[CH2:21][CH2:22]1)[C:23]2=[O:24].[CH3:1][NH:2][c:3]1[cH:4][cH:5][c:6]2[c:7]3[c:8]([cH:9][cH:10][c:11]([Cl:25])[c:12]13)[C:13](=[O:14])[N:15]([CH:16]1[CH2:17][CH2:18][N:19]([CH3:20])[CH2:21][CH2:22]1)[C:23]2=[O:24],US05202318
204,136715,[N+:1]([O-:2])([OH:3])=[O:4].[o:5]1[c:6]2[c:7]([cH:8][cH:9][cH:10][cH:11]2)[cH:12][cH:13][c:14]1=[O:15]>>[N+:1]([O-:3])(=[O:4])[c:9]1[cH:8][c:7]2[c:6]([o:5][c:14](=[O:15])[cH:13][cH:12]2)[cH:11][cH:10]1,[N+:1]([O-:3])(=[O:4])[c:9]1[cH:8][c:7]2[c:6]([o:5][c:14](=[O:15])[cH:13][cH:12]2)[cH:11][cH:10]1.[N+:1]([O-:3])(=[O:4])[c:11]1[c:6]2[o:5][c:14](=[O:15])[cH:13][cH:12][c:7]2[cH:8][cH:9][cH:10]1.[N+:1]([O-:3])(=[O:4])[c:8]1[c:7]2[c:6]([o:5][c:14](=[O:15])[cH:13][cH:12]2)[cH:11][cH:10][cH:9]1.[N+:1]([O-:3])(=[O:4])[c:12]1[c:7]2[c:6]([o:5][c:14](=[O:15])[cH:13]1)[cH:11][cH:10][cH:9][cH:8]2.[N+:1]([O-:3])(=[O:4])[c:10]1[cH:9][cH:8][c:7]2[c:6]([o:5][c:14](=[O:15])[cH:13][cH:12]2)[cH:11]1.[N+:1]([O-:3])(=[O:4])[c:13]1[cH:12][c:7]2[c:6]([o:5][c:14]1=[O:15])[cH:11][cH:10][cH:9][cH:8]2,US05219734
205,136574,[Cl:1][c:2]1[c:3]2[c:4]([n:5][c:6]3[cH:7][c:8]4[c:9]([nH:10][c:11]2-3)[cH:12][cH:13][cH:14][cH:15]4)[cH:16][cH:17][cH:18]1.[N+:19]([O-:20])([OH:21])=[O:22]>>[Cl:1][c:2]1[c:3]2[c:4]([n:5][c:6]3[cH:7][c:8]4[c:9]([nH:10][c:11]2-3)[cH:12][cH:13][c:14]([N+:19]([O-:20])=[O:22])[cH:15]4)[cH:16][cH:17][cH:18]1,[Cl:1][c:2]1[c:3]2[c:4]([n:5][c:6]3[cH:7][c:8]4[c:9]([nH:10][c:11]2-3)[cH:12][cH:13][c:14]([N+:19]([O-:20])=[O:22])[cH:15]4)[cH:16][cH:17][cH:18]1.[Cl:1][c:2]1[c:3]2[c:4]([n:5][c:6]3[cH:7][c:8]4[c:9]([nH:10][c:11]2-3)[cH:12][cH:13][cH:14][cH:15]4)[cH:16][cH:17][c:18]1[N+:19]([O-:20])=[O:22].[Cl:1][c:2]1[c:3]2[c:4]([n:5][c:6]3[cH:7][c:8]4[c:9]([nH:10][c:11]2-3)[cH:12][cH:13][cH:14][cH:15]4)[c:16]([N+:19]([O-:20])=[O:22])[cH:17][cH:18]1.[Cl:1][c:2]1[c:3]2[c:4]([n:5][c:6]3[c:7]([N+:19]([O-:20])=[O:22])[c:8]4[c:9]([nH:10][c:11]2-3)[cH:12][cH:13][cH:14][cH:15]4)[cH:16][cH:17][cH:18]1.[Cl:1][c:2]1[c:3]2[c:4]([n:5][c:6]3[cH:7][c:8]4[c:9]([nH:10][c:11]2-3)[cH:12][cH:13][cH:14][c:15]4[N+:19]([O-:20])=[O:22])[cH:16][cH:17][cH:18]1.[Cl:1][c:2]1[c:3]2[c:4]([n:5][c:6]3[cH:7][c:8]4[c:9]([nH:10][c:11]2-3)[c:12]([N+:19]([O-:20])=[O:22])[cH:13][cH:14][cH:15]4)[cH:16][cH:17][cH:18]1.[Cl:1][c:2]1[c:3]2[c:4]([n:5][c:6]3[cH:7][c:8]4[c:9]([nH:10][c:11]2-3)[cH:12][c:13]([N+:19]([O-:20])=[O:22])[cH:14][cH:15]4)[cH:16][cH:17][cH:18]1.[Cl:1][c:2]1[c:3]2[c:4]([n:5][c:6]3[cH:7][c:8]4[c:9]([nH:10][c:11]2-3)[cH:12][cH:13][cH:14][cH:15]4)[cH:16][c:17]([N+:19]([O-:20])=[O:22])[cH:18]1,US05217961
206,136294,[CH3:1][N:2]1[c:3]2[cH:4][cH:5][cH:6][cH:7][c:8]2[N:9]([CH3:10])[C:11](=[O:12])[C:13]([CH3:14])([CH3:15])[C:16]1=[O:17].[N+:18]([O-:19])([OH:20])=[O:21]>C(OC(=O)C)(=O)C.C(O)(=O)C>[CH3:1][N:2]1[c:3]2[cH:4][cH:5][c:6]([N+:18]([O-:19])=[O:21])[cH:7][c:8]2[N:9]([CH3:10])[C:11](=[O:12])[C:13]([CH3:14])([CH3:15])[C:16]1=[O:17],[CH3:1][N:2]1[c:3]2[cH:4][cH:5][c:6]([N+:18]([O-:19])=[O:21])[cH:7][c:8]2[N:9]([CH3:10])[C:11](=[O:12])[C:13]([CH3:14])([CH3:15])[C:16]1=[O:17].[CH3:1][N:2]1[c:3]2[cH:4][cH:5][cH:6][c:7]([N+:18]([O-:19])=[O:21])[c:8]2[N:9]([CH3:10])[C:11](=[O:12])[C:13]([CH3:14])([CH3:15])[C:16]1=[O:17],US05216148
207,137636,[Br:1][Br:2].[CH3:3][O:4][c:5]1[cH:6][cH:7][cH:8][c:9]2[c:10]1[CH2:11][CH:12]([NH:13][CH:14]([CH:15]1[CH2:16][CH2:17]1)[CH:18]1[CH2:19][CH2:20]1)[CH2:21][CH2:22]2>CCO.C(Cl)Cl>[Br:2][c:8]1[cH:7][cH:6][c:5]([O:4][CH3:3])[c:10]2[c:9]1[CH2:22][CH2:21][CH:12]([NH:13][CH:14]([CH:15]1[CH2:16][CH2:17]1)[CH:18]1[CH2:19][CH2:20]1)[CH2:11]2,[Br:2][c:8]1[cH:7][cH:6][c:5]([O:4][CH3:3])[c:10]2[c:9]1[CH2:22][CH2:21][CH:12]([NH:13][CH:14]([CH:15]1[CH2:16][CH2:17]1)[CH:18]1[CH2:19][CH2:20]1)[CH2:11]2.[Br:2][c:6]1[c:5]([O:4][CH3:3])[c:10]2[c:9]([cH:8][cH:7]1)[CH2:22][CH2:21][CH:12]([NH:13][CH:14]([CH:15]1[CH2:16][CH2:17]1)[CH:18]1[CH2:19][CH2:20]1)[CH2:11]2.[Br:2][c:7]1[cH:6][c:5]([O:4][CH3:3])[c:10]2[c:9]([cH:8]1)[CH2:22][CH2:21][CH:12]([NH:13][CH:14]([CH:15]1[CH2:16][CH2:17]1)[CH:18]1[CH2:19][CH2:20]1)[CH2:11]2,US05225596
208,139553,[Br:1][N:2]1[C:3](=[O:4])[CH2:5][CH2:6][C:7]1=[O:8].[CH:9]([O:10][C:11]([NH:12][CH2:13][CH2:14][S:15][c:16]1[n:17]2[cH:18][cH:19][n:20][c:21]2[cH:22][cH:23][cH:24]1)=[O:25])([CH3:26])[CH3:27]>C(Cl)(Cl)Cl>[Br:1][c:18]1[n:17]2[c:16]([S:15][CH2:14][CH2:13][NH:12][C:11]([O:10][CH:9]([CH3:26])[CH3:27])=[O:25])[cH:24][cH:23][cH:22][c:21]2[n:20][cH:19]1,[Br:1][c:18]1[n:17]2[c:16]([S:15][CH2:14][CH2:13][NH:12][C:11]([O:10][CH:9]([CH3:26])[CH3:27])=[O:25])[cH:24][cH:23][cH:22][c:21]2[n:20][cH:19]1.[Br:1][c:19]1[cH:18][n:17]2[c:16]([S:15][CH2:14][CH2:13][NH:12][C:11]([O:10][CH:9]([CH3:26])[CH3:27])=[O:25])[cH:24][cH:23][cH:22][c:21]2[n:20]1,US05244908
209,137693,[Cl:1][N:2]1[C:3](=[O:4])[CH2:5][CH2:6][C:7]1=[O:8].[cH:9]1[cH:10][cH:11][c:12]2[c:13]([cH:14]1)-[c:15]1[c:16]3[c:17]([n:18][cH:19][cH:20][c:21]3[cH:22][cH:23][n:24]1)[C:25]2=[O:26]>CN(C=O)C>[Cl:1][c:20]1[cH:19][n:18][c:17]2[c:16]3[c:15]([n:24][cH:23][cH:22][c:21]31)-[c:13]1[c:12]([cH:11][cH:10][cH:9][cH:14]1)[C:25]2=[O:26],[Cl:1][c:20]1[cH:19][n:18][c:17]2[c:16]3[c:15]([n:24][cH:23][cH:22][c:21]31)-[c:13]1[c:12]([cH:11][cH:10][cH:9][cH:14]1)[C:25]2=[O:26].[Cl:1][c:10]1[cH:9][cH:14][c:13]2[c:12]([cH:11]1)[C:25](=[O:26])[c:17]1[c:16]3[c:15]-2[n:24][cH:23][cH:22][c:21]3[cH:20][cH:19][n:18]1.[Cl:1][c:14]1[cH:9][cH:10][cH:11][c:12]2[c:13]1-[c:15]1[c:16]3[c:17]([n:18][cH:19][cH:20][c:21]3[cH:22][cH:23][n:24]1)[C:25]2=[O:26].[Cl:1][c:9]1[cH:10][cH:11][c:12]2[c:13]([cH:14]1)-[c:15]1[c:16]3[c:17]([n:18][cH:19][cH:20][c:21]3[cH:22][cH:23][n:24]1)[C:25]2=[O:26].[Cl:1][c:11]1[cH:10][cH:9][cH:14][c:13]2[c:12]1[C:25](=[O:26])[c:17]1[c:16]3[c:15]-2[n:24][cH:23][cH:22][c:21]3[cH:20][cH:19][n:18]1.[Cl:1][c:19]1[n:18][c:17]2[c:16]3[c:15]([n:24][cH:23][cH:22][c:21]3[cH:20]1)-[c:13]1[c:12]([cH:11][cH:10][cH:9][cH:14]1)[C:25]2=[O:26].[Cl:1][c:22]1[c:21]2[c:16]3[c:15]([n:24][cH:23]1)-[c:13]1[c:12]([cH:11][cH:10][cH:9][cH:14]1)[C:25](=[O:26])[c:17]3[n:18][cH:19][cH:20]2.[Cl:1][c:23]1[cH:22][c:21]2[c:16]3[c:15]([n:24]1)-[c:13]1[c:12]([cH:11][cH:10][cH:9][cH:14]1)[C:25](=[O:26])[c:17]3[n:18][cH:19][cH:20]2,US05227383
210,137787,[F:1][C:2]([F:3])([F:4])[c:5]1[cH:6][cH:7][c:8]([NH:9][S:10]([CH2:11][CH3:12])(=[O:13])=[O:14])[n:15][cH:16]1.[N+:17]([O-:18])([OH:19])=[O:20]>C(O)(=O)C>[F:1][C:2]([F:3])([F:4])[c:5]1[cH:6][c:7]([N+:17]([O-:19])=[O:20])[c:8]([NH:9][S:10]([CH2:11][CH3:12])(=[O:13])=[O:14])[n:15][cH:16]1,[F:1][C:2]([F:3])([F:4])[c:5]1[cH:6][c:7]([N+:17]([O-:19])=[O:20])[c:8]([NH:9][S:10]([CH2:11][CH3:12])(=[O:13])=[O:14])[n:15][cH:16]1.[F:1][C:2]([F:3])([F:4])[c:5]1[c:6]([N+:17]([O-:19])=[O:20])[cH:7][c:8]([NH:9][S:10]([CH2:11][CH3:12])(=[O:13])=[O:14])[n:15][cH:16]1.[F:1][C:2]([F:3])([F:4])[c:5]1[cH:6][cH:7][c:8]([NH:9][S:10]([CH2:11][CH3:12])(=[O:13])=[O:14])[n:15][c:16]1[N+:17]([O-:19])=[O:20],US05229403
211,140222,[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][C:7](=[O:8])[CH2:9][CH2:10][CH2:11][CH3:12])[c:13]([C:14]([O:15][CH3:16])=[O:17])[cH:18]1.[N+:19]([O-:20])([OH:21])=[O:22]>C(OC(=O)C)(=O)C>[CH3:1][c:2]1[cH:3][c:4]([N+:19]([O-:21])=[O:22])[c:5]([NH:6][C:7](=[O:8])[CH2:9][CH2:10][CH2:11][CH3:12])[c:13]([C:14]([O:15][CH3:16])=[O:17])[cH:18]1,[CH3:1][c:2]1[cH:3][c:4]([N+:19]([O-:21])=[O:22])[c:5]([NH:6][C:7](=[O:8])[CH2:9][CH2:10][CH2:11][CH3:12])[c:13]([C:14]([O:15][CH3:16])=[O:17])[cH:18]1.[CH3:1][c:2]1[c:3]([N+:19]([O-:21])=[O:22])[cH:4][c:5]([NH:6][C:7](=[O:8])[CH2:9][CH2:10][CH2:11][CH3:12])[c:13]([C:14]([O:15][CH3:16])=[O:17])[cH:18]1.[CH3:1][c:2]1[cH:3][cH:4][c:5]([NH:6][C:7](=[O:8])[CH2:9][CH2:10][CH2:11][CH3:12])[c:13]([C:14]([O:15][CH3:16])=[O:17])[c:18]1[N+:19]([O-:21])=[O:22],US05250554
212,140324,[N+:1]([O-:2])([OH:3])=[O:4].[OH:5][c:6]1[n:7][cH:8][cH:9][cH:10][c:11]1[C:12]([OH:13])=[O:14]>S(=O)(=O)(O)O>[N+:1]([O-:3])(=[O:4])[c:9]1[cH:8][n:7][c:6]([OH:5])[c:11]([C:12]([OH:13])=[O:14])[cH:10]1,[N+:1]([O-:3])(=[O:4])[c:9]1[cH:8][n:7][c:6]([OH:5])[c:11]([C:12]([OH:13])=[O:14])[cH:10]1.[N+:1]([O-:3])(=[O:4])[c:8]1[n:7][c:6]([OH:5])[c:11]([C:12]([OH:13])=[O:14])[cH:10][cH:9]1.[N+:1]([O-:3])(=[O:4])[c:10]1[cH:9][cH:8][n:7][c:6]([OH:5])[c:11]1[C:12]([OH:13])=[O:14],US05250548
213,141886,[Cl:1][CH2:2][c:3]1[cH:4][c:5]([CH:6]=[O:7])[c:8]([OH:9])[cH:10][cH:11]1.[N+:12]([O-:13])([OH:14])=[O:15]>C(O)(=O)C>[Cl:1][CH2:2][c:3]1[cH:4][c:5]([CH:6]=[O:7])[c:8]([OH:9])[c:10]([N+:12]([O-:14])=[O:15])[cH:11]1,[Cl:1][CH2:2][c:3]1[cH:4][c:5]([CH:6]=[O:7])[c:8]([OH:9])[c:10]([N+:12]([O-:14])=[O:15])[cH:11]1.[Cl:1][CH2:2][c:3]1[c:4]([N+:12]([O-:14])=[O:15])[c:5]([CH:6]=[O:7])[c:8]([OH:9])[cH:10][cH:11]1.[Cl:1][CH2:2][c:3]1[cH:4][c:5]([CH:6]=[O:7])[c:8]([OH:9])[cH:10][c:11]1[N+:12]([O-:14])=[O:15],US05262890
