,reaction_id,smiles,products_run
208,208,[CH3:1][C@@H:2]([NH2:3])[C:4]([CH3:5])([CH3:6])[F:7].[H-:8],"[[6, 3, 7], [6, 3, 1, 7]]"
209,209,[CH3:1][C@@H:2]([Cl:3])[CH:4]([NH2:5])[NH2:6].[H-:7],"[[2, 1, 6], [2, 1, 3, 6]]"
210,210,[CH3:1][C@@H:2]([NH2:3])[C@@H:4]([CH3:5])[Cl:6].[H-:7],"[[5, 3, 6], [5, 3, 1, 6]]"
211,211,[CH3:1][C@@H:2]([Cl:3])[C@H:4]([NH2:5])[C:6]#[N:7].[F-:8],"[[2, 1, 7], [2, 1, 3, 7]]"
212,212,[CH3:1][C@@H:2]([NH2:3])[C@@H:4]([CH3:5])[Cl:6].[Cl-:7],"[[5, 3, 1, 6], [5, 3, 6]]"
213,213,[CH3:1][C@@H:2]([NH2:3])[C@@H:4]([CH3:5])[Cl:6].[Br-:7],"[[5, 3, 1, 6], [5, 3, 6]]"
214,214,[CH3:1][C@@H:2]([NH2:3])[C@@H:4]([CH3:5])[Cl:6].[F-:7],"[[5, 3, 6], [5, 3, 1, 6]]"
215,215,[CH3:1][C@@H:2]([Cl:3])[C@@H:4]([CH3:5])[N+:6](=[O:7])[O-:8].[Cl-:9],"[[2, 1, 3, 8], [2, 1, 8]]"
217,217,[CH3:1][C@@H:2]([Cl:3])[C@H:4]([NH2:5])[N+:6](=[O:7])[O-:8].[Cl-:9],"[[2, 1, 8], [2, 1, 3, 8]]"
218,218,[CH3:1][C@@H:2]([Cl:3])[CH:4]([NH2:5])[NH2:6].[Cl-:7],"[[2, 1, 3, 6], [2, 1, 6]]"
219,219,[CH3:1][C@@H:2]([NH2:3])[C@@:4]([CH3:5])([Cl:6])[N+:7](=[O:8])[O-:9].[Cl-:10],"[[5, 3, 9], [5, 3, 1, 9]]"
220,220,[CH3:1][C@@H:2]([NH2:3])[C@H:4]([Cl:5])[C:6]#[N:7].[Br-:8],"[[4, 3, 1, 7], [4, 3, 7]]"
222,222,[CH3:1][C@@H:2]([Cl:3])[CH:4]([NH2:5])[NH2:6].[Br-:7],"[[2, 1, 3, 6], [2, 1, 6]]"
223,223,[CH3:1][C@@H:2]([NH2:3])[C@@:4]([CH3:5])([Br:6])[N+:7](=[O:8])[O-:9].[H-:10],"[[5, 3, 9], [5, 3, 1, 9]]"
224,224,[CH3:1][C@@H:2]([NH2:3])[C@@H:4]([CH3:5])[Br:6].[H-:7],"[[5, 3, 6], [5, 3, 1, 6]]"
225,225,[CH3:1][C@@H:2]([C:3]#[N:4])[C@@H:5]([CH3:6])[Br:7].[F-:8],"[[6, 4, 7], [6, 4, 1, 7]]"
226,226,[CH3:1][C@@H:2]([NH2:3])[C@@H:4]([CH3:5])[Br:6].[Cl-:7],"[[5, 3, 1, 6], [5, 3, 6]]"
227,227,[CH3:1][C@@H:2]([NH2:3])[C@H:4]([Br:5])[C:6]#[N:7].[Cl-:8],"[[4, 3, 1, 7], [4, 3, 7]]"
229,229,[CH3:1][CH:2]([CH3:3])[C@@H:4]([CH3:5])[Br:6].[Cl-:7],"[[5, 3, 1, 6], [5, 3, 6]]"
230,230,[CH3:1][C@@H:2]([Br:3])[CH:4]([NH2:5])[NH2:6].[Cl-:7],"[[2, 1, 6], [2, 1, 3, 6]]"
231,231,[CH3:1][C@@H:2]([NH2:3])[C@@:4]([CH3:5])([Br:6])[C:7]#[N:8].[Cl-:9],"[[5, 3, 8], [5, 3, 1, 8]]"
232,232,[CH3:1][C@@H:2]([NH2:3])[C@H:4]([Br:5])[N+:6](=[O:7])[O-:8].[Br-:9],"[[4, 3, 1, 8], [4, 3, 8]]"
233,233,[CH3:1][C@@H:2]([Br:3])[CH2:4][NH2:5].[Br-:6],"[[2, 1, 3, 5], [2, 1, 5]]"
234,234,[CH3:1][C@@H:2]([NH2:3])[Cl:4].[H-:5],"[[3, 1, 4], [3, 1, 0, 4]]"
235,235,[CH3:1][C@@H:2]([C@@H:3]([NH2:4])[F:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[4, 2, 8], [4, 2, 1, 8]]"
236,236,[NH2:1][C@@H:2]([F:3])[CH2:4][N+:5](=[O:6])[O-:7].[H-:8],"[[2, 1, 7], [2, 1, 3, 7]]"
237,237,[CH3:1][C@@H:2]([F:3])[CH2:4][C:5]#[N:6].[H-:7],"[[2, 1, 6], [2, 1, 3, 6]]"
238,238,[N:1]#[C:2][CH2:3][C@@:4]([NH2:5])([F:6])[C:7]#[N:8].[H-:9],"[[5, 3, 8], [5, 3, 2, 8]]"
239,239,[N:1]#[C:2][CH2:3][C@@H:4]([NH2:5])[Cl:6].[F-:7],"[[5, 3, 6], [5, 3, 2, 6]]"
240,240,[N:1]#[C:2][C@@H:3]([NH2:4])[C@@H:5]([NH2:6])[Cl:7].[H-:8],"[[6, 4, 7], [6, 4, 2, 7]]"
241,241,[N:1]#[C:2][CH2:3][C@@H:4]([NH2:5])[Br:6].[H-:7],"[[5, 3, 6], [5, 3, 2, 6]]"
242,242,[N:1]#[C:2][C@@H:3]([NH2:4])[C@@H:5]([NH2:6])[Br:7].[F-:8],"[[6, 4, 7], [6, 4, 2, 7]]"
243,243,[N:1]#[C:2][CH2:3][C@@H:4]([NH2:5])[Br:6].[F-:7],"[[5, 3, 6], [5, 3, 2, 6]]"
244,244,[CH3:1][CH2:2][C@@:3]([NH2:4])([F:5])[C:6]#[N:7].[H-:8],"[[4, 2, 7], [4, 2, 1, 7]]"
245,245,[CH3:1][C@@H:2]([NH2:3])[C@@H:4]([NH2:5])[Cl:6].[H-:7],"[[5, 3, 6], [5, 3, 1, 6]]"
246,246,[CH3:1][CH2:2][CH2:3][Cl:4].[F-:5],"[[3, 2, 4], [3, 2, 1, 4]]"
247,247,[CH3:1][CH2:2][C@@:3]([NH2:4])([Cl:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[4, 2, 8], [4, 2, 1, 8]]"
248,248,[CH3:1][CH2:2][C@@H:3]([NH2:4])[Cl:5].[F-:6],"[[4, 2, 1, 5], [4, 2, 5]]"
249,249,[CH3:1][C@@H:2]([C:3]#[N:4])[C@@H:5]([NH2:6])[Br:7].[H-:8],"[[6, 4, 7], [6, 4, 1, 7]]"
250,250,[NH2:1][CH2:2][C@@H:3]([NH2:4])[Br:5].[F-:6],"[[4, 2, 1, 5], [4, 2, 5]]"
251,251,[CH3:1][C@@H:2]([NH2:3])[C@@H:4]([NH2:5])[Br:6].[F-:7],"[[5, 3, 1, 6], [5, 3, 6]]"
252,252,[CH3:1][CH2:2][C@@:3]([NH2:4])([Br:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[4, 2, 8], [4, 2, 1, 8]]"
253,253,[CH3:1][CH2:2][C@@H:3]([NH2:4])[Br:5].[F-:6],"[[4, 2, 1, 5], [4, 2, 5]]"
254,254,[N:1]#[C:2][C@H:3]([NH2:4])[C@@H:5]([NH2:6])[Cl:7].[F-:8],"[[6, 4, 7], [6, 4, 2, 7]]"
255,255,[NH2:1][C@@H:2]([Cl:3])[CH2:4][N+:5](=[O:6])[O-:7].[H-:8],"[[2, 1, 7], [2, 1, 3, 7]]"
256,256,[N:1]#[C:2][C@H:3]([C@@H:4]([NH2:5])[Cl:6])[N+:7](=[O:8])[O-:9].[F-:10],"[[5, 3, 9], [5, 3, 2, 9]]"
257,257,[CH3:1][C@:2]([NH2:3])([Cl:4])[CH2:5][C:6]#[N:7].[H-:8],"[[3, 1, 7], [3, 1, 4, 7]]"
258,258,[CH3:1][C@@H:2]([NH2:3])[Br:4].[H-:5],"[[3, 1, 0, 4], [3, 1, 4]]"
259,259,[N:1]#[C:2][CH2:3][C@@:4]([NH2:5])([Br:6])[N+:7](=[O:8])[O-:9].[H-:10],"[[5, 3, 9], [5, 3, 2, 9]]"
261,261,[N:1]#[C:2][CH2:3][C@@:4]([NH2:5])([Br:6])[N+:7](=[O:8])[O-:9].[F-:10],"[[5, 3, 9], [5, 3, 2, 9]]"
263,263,[CH3:1][C@@H:2]([C:3]#[N:4])[C@@H:5]([NH2:6])[F:7].[F-:8],"[[6, 4, 7], [6, 4, 1, 7]]"
264,264,[CH3:1][C@@H:2]([C:3]#[N:4])[C@@:5]([NH2:6])([F:7])[C:8]#[N:9].[H-:10],"[[6, 4, 9], [6, 4, 1, 9]]"
265,265,[CH3:1][C@@H:2]([C:3]#[N:4])[C@@H:5]([NH2:6])[F:7].[H-:8],"[[6, 4, 7], [6, 4, 1, 7]]"
266,266,[CH3:1][C@@H:2]([C:3]#[N:4])[C@H:5]([Cl:6])[N+:7](=[O:8])[O-:9].[H-:10],"[[5, 4, 9], [5, 4, 1, 9]]"
267,267,[CH3:1][C@@H:2]([C:3]#[N:4])[C@@H:5]([NH2:6])[Cl:7].[H-:8],"[[6, 4, 7], [6, 4, 1, 7]]"
268,268,[CH3:1][C@@H:2]([C:3]#[N:4])[CH2:5][Br:6].[H-:7],"[[5, 4, 6], [5, 4, 1, 6]]"
269,269,[CH3:1][CH:2]([CH3:3])[C@@H:4]([NH2:5])[Br:6].[F-:7],"[[5, 3, 6], [5, 3, 1, 6]]"
270,270,[CH3:1][C@@H:2]([C:3]#[N:4])[C@@:5]([NH2:6])([Br:7])[N+:8](=[O:9])[O-:10].[F-:11],"[[6, 4, 10], [6, 4, 1, 10]]"
271,271,[CH3:1][C@@H:2]([C:3]#[N:4])[C@@:5]([NH2:6])([Br:7])[C:8]#[N:9].[F-:10],"[[6, 4, 9], [6, 4, 1, 9]]"
272,272,[CH3:1][C@@H:2]([C:3]#[N:4])[C@@H:5]([NH2:6])[Br:7].[F-:8],"[[6, 4, 7], [6, 4, 1, 7]]"
273,273,[N:1]#[C:2][C@H:3]([NH2:4])[C@@:5]([NH2:6])([Cl:7])[C:8]#[N:9].[H-:10],"[[6, 4, 9], [6, 4, 2, 9]]"
274,274,[CH3:1][C@H:2]([C:3]#[N:4])[C@@H:5]([NH2:6])[Cl:7].[F-:8],"[[6, 4, 7], [6, 4, 1, 7]]"
275,275,[CH3:1][C@H:2]([NH2:3])[C@@H:4]([NH2:5])[Cl:6].[F-:7],"[[5, 3, 6], [5, 3, 1, 6]]"
276,276,[CH3:1][CH2:2][C@@H:3]([NH2:4])[Br:5].[H-:6],"[[4, 2, 5], [4, 2, 1, 5]]"
277,277,[CH3:1][C@@H:2]([C@@H:3]([NH2:4])[Br:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[4, 2, 8], [4, 2, 1, 8]]"
278,278,[CH3:1][C@H:2]([C:3]#[N:4])[C@@H:5]([NH2:6])[Br:7].[F-:8],"[[6, 4, 7], [6, 4, 1, 7]]"
279,279,[CH3:1][C@H:2]([C:3]#[N:4])[C@@:5]([NH2:6])([F:7])[N+:8](=[O:9])[O-:10].[H-:11],"[[6, 4, 10], [6, 4, 1, 10]]"
280,280,[CH3:1][C@H:2]([C:3]#[N:4])[C@@H:5]([NH2:6])[Br:7].[H-:8],"[[6, 4, 7], [6, 4, 1, 7]]"
281,281,[CH3:1][CH:2]([CH3:3])[CH2:4][Cl:5].[H-:6],"[[4, 3, 1, 5], [4, 3, 5]]"
282,282,[CH3:1][CH:2]([CH3:3])[C@@H:4]([NH2:5])[Cl:6].[H-:7],"[[5, 3, 6], [5, 3, 1, 6]]"
283,283,[CH3:1][CH:2]([CH3:3])[C@@H:4]([NH2:5])[Br:6].[H-:7],"[[5, 3, 6], [5, 3, 1, 6]]"
284,284,[CH3:1][C@H:2]([C:3]#[N:4])[C@@H:5]([NH2:6])[F:7].[H-:8],"[[6, 4, 7], [6, 4, 1, 7]]"
285,285,[CH3:1][C@H:2]([NH2:3])[C@@H:4]([NH2:5])[F:6].[H-:7],"[[5, 3, 6], [5, 3, 1, 6]]"
286,286,[CH3:1][C@@H:2]([NH2:3])[Cl:4].[F-:5],"[[3, 1, 4], [3, 1, 0, 4]]"
287,287,[NH2:1][CH:2]([NH2:3])[C@@H:4]([NH2:5])[Cl:6].[F-:7],"[[5, 3, 1, 6], [5, 3, 6]]"
289,289,[N:1]#[C:2][C@@H:3]([NH2:4])[C@@H:5]([NH2:6])[Br:7].[H-:8],"[[6, 4, 7], [6, 4, 2, 7]]"
290,290,[CH3:1][C@@H:2]([NH2:3])[C@@H:4]([NH2:5])[Br:6].[H-:7],"[[5, 3, 6], [5, 3, 1, 6]]"
291,291,[NH2:1][CH:2]([NH2:3])[C@@H:4]([NH2:5])[Br:6].[H-:7],"[[5, 3, 6], [5, 3, 1, 6]]"
292,292,[NH2:1][CH2:2][C@@H:3]([NH2:4])[Br:5].[H-:6],"[[4, 2, 5], [4, 2, 1, 5]]"
293,293,[N:1]#[C:2][C@@H:3]([NH2:4])[C@@H:5]([NH2:6])[F:7].[H-:8],"[[6, 4, 7], [6, 4, 2, 7]]"
294,294,[CH3:1][C@@H:2]([NH2:3])[C@H:4]([F:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[4, 3, 1, 8], [4, 3, 8]]"
295,295,[NH2:1][CH:2]([NH2:3])[C@@H:4]([NH2:5])[F:6].[H-:7],"[[5, 3, 6], [5, 3, 1, 6]]"
296,296,[CH3:1][C@@H:2]([NH2:3])[C@@:4]([NH2:5])([F:6])[N+:7](=[O:8])[O-:9].[H-:10],"[[5, 3, 9], [5, 3, 1, 9]]"
297,297,[CH3:1][C@@H:2]([NH2:3])[C@@:4]([CH3:5])([NH2:6])[F:7].[H-:8],"[[6, 3, 7], [6, 3, 1, 7]]"
298,298,[CH3:1][C@@H:2]([NH2:3])[C@@H:4]([CH3:5])[Br:6].[F-:7],"[[5, 3, 6], [5, 3, 1, 6]]"
299,299,[CH3:1][C@@H:2]([F:3])[N+:4](=[O:5])[O-:6].[Cl-:7],"[[2, 1, 0, 6], [2, 1, 6]]"
300,300,[CH3:1][C:2]([CH3:3])([Cl:4])[N+:5](=[O:6])[O-:7].[F-:8],"[[3, 1, 7], [3, 1, 0, 7]]"
301,301,[CH3:1][C@@H:2]([Br:3])[N+:4](=[O:5])[O-:6].[Br-:7],"[[2, 1, 0, 6], [2, 1, 6]]"
302,302,[CH3:1][CH:2]([CH3:3])[Br:4].[H-:5],"[[3, 1, 4], [3, 1, 0, 4]]"
303,303,[CH3:1][C@@H:2]([Br:3])[N+:4](=[O:5])[O-:6].[F-:7],"[[2, 1, 0, 6], [2, 1, 6]]"
306,306,[CH3:1][CH2:2][C@:3]([F:4])([C:5]#[N:6])[N+:7](=[O:8])[O-:9].[H-:10],"[[3, 2, 1, 9], [3, 2, 9]]"
307,307,[CH3:1][C@H:2]([C:3]#[N:4])[C@@:5]([NH2:6])([Cl:7])[N+:8](=[O:9])[O-:10].[H-:11],"[[6, 4, 10], [6, 4, 1, 10]]"
308,308,[CH3:1][C@H:2]([NH2:3])[C@@H:4]([Cl:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[4, 3, 8], [4, 3, 1, 8]]"
309,309,[CH3:1][C@H:2]([NH2:3])[C@@H:4]([Br:5])[N+:6](=[O:7])[O-:8].[Cl-:9],"[[4, 3, 1, 8], [4, 3, 8]]"
310,310,[CH3:1][C@H:2]([C:3]#[N:4])[C@@H:5]([Br:6])[N+:7](=[O:8])[O-:9].[Cl-:10],"[[5, 4, 9], [5, 4, 1, 9]]"
311,311,[NH2:1][CH:2]([NH2:3])[C@@H:4]([Br:5])[N+:6](=[O:7])[O-:8].[Cl-:9],"[[4, 3, 1, 8], [4, 3, 8]]"
312,312,[CH3:1][C@H:2]([NH2:3])[C@H:4]([CH3:5])[Br:6].[Cl-:7],"[[5, 3, 1, 6], [5, 3, 6]]"
314,314,[CH3:1][C@@H:2]([NH2:3])[C@@H:4]([Cl:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[4, 3, 1, 8], [4, 3, 8]]"
315,315,[NH2:1][CH2:2][C@H:3]([NH2:4])[Cl:5].[H-:6],"[[4, 2, 1, 5], [4, 2, 5]]"
316,316,[NH2:1][CH2:2][C@@H:3]([Cl:4])[N+:5](=[O:6])[O-:7].[H-:8],"[[3, 2, 1, 7], [3, 2, 7]]"
318,318,[NH2:1][C@@H:2]([C@@H:3]([Cl:4])[N+:5](=[O:6])[O-:7])[N+:8](=[O:9])[O-:10].[F-:11],"[[3, 2, 10], [3, 2, 1, 10]]"
319,319,[CH3:1][C@@H:2]([NH2:3])[C@@H:4]([Cl:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[4, 3, 1, 8], [4, 3, 8]]"
320,320,[NH2:1][CH2:2][C@@H:3]([Cl:4])[N+:5](=[O:6])[O-:7].[Br-:8],"[[3, 2, 1, 7], [3, 2, 7]]"
321,321,[CH3:1][C@@H:2]([NH2:3])[C@@H:4]([Cl:5])[N+:6](=[O:7])[O-:8].[Cl-:9],"[[4, 3, 1, 8], [4, 3, 8]]"
322,322,[N:1]#[C:2][C@@:3]([Cl:4])([CH2:5][NH2:6])[N+:7](=[O:8])[O-:9].[Cl-:10],"[[3, 2, 4, 9], [3, 2, 9]]"
323,323,[NH2:1][CH2:2][C@@H:3]([Cl:4])[N+:5](=[O:6])[O-:7].[Cl-:8],"[[3, 2, 1, 7], [3, 2, 7]]"
324,324,[NH2:1][CH2:2][C@@H:3]([Br:4])[N+:5](=[O:6])[O-:7].[Cl-:8],"[[3, 2, 1, 7], [3, 2, 7]]"
326,326,[NH2:1][CH:2]([NH2:3])[C@@H:4]([Br:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[4, 3, 1, 8], [4, 3, 8]]"
327,327,[NH2:1][CH:2]([NH2:3])[CH2:4][F:5].[Br-:6],"[[4, 3, 1, 5], [4, 3, 5]]"
328,328,[NH2:1][CH:2]([NH2:3])[C@@H:4]([F:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[4, 3, 8], [4, 3, 1, 8]]"
329,329,[NH2:1][CH:2]([NH2:3])[C@@H:4]([Cl:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[4, 3, 8], [4, 3, 1, 8]]"
330,330,[NH2:1][CH:2]([NH2:3])[C@@H:4]([Cl:5])[N+:6](=[O:7])[O-:8].[Br-:9],"[[4, 3, 1, 8], [4, 3, 8]]"
331,331,[NH2:1][CH:2]([NH2:3])[C@@H:4]([Cl:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[4, 3, 8], [4, 3, 1, 8]]"
332,332,[NH2:1][CH:2]([NH2:3])[C@@:4]([NH2:5])([Cl:6])[N+:7](=[O:8])[O-:9].[F-:10],"[[5, 3, 9], [5, 3, 1, 9]]"
333,333,[NH2:1][CH:2]([NH2:3])[C@@H:4]([Br:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[4, 3, 1, 8], [4, 3, 8]]"
334,334,[CH3:1][C@H:2]([F:3])[C:4]#[N:5].[H-:6],"[[2, 1, 5], [2, 1, 0, 5]]"
335,335,[CH3:1][C@:2]([F:3])([C:4]#[N:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[2, 1, 0, 8], [2, 1, 8]]"
336,336,[CH3:1][C@:2]([Cl:3])([C:4]#[N:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[2, 1, 8], [2, 1, 0, 8]]"
337,337,[CH3:1][CH2:2][C:3]([F:4])([C:5]#[N:6])[C:7]#[N:8].[H-:9],"[[3, 2, 1, 8], [3, 2, 8]]"
338,338,[CH3:1][CH2:2][C@:3]([Cl:4])([C:5]#[N:6])[N+:7](=[O:8])[O-:9].[F-:10],"[[3, 2, 1, 9], [3, 2, 9]]"
339,339,[CH3:1][C:2]([CH3:3])([F:4])[N+:5](=[O:6])[O-:7].[Cl-:8],"[[3, 1, 0, 7], [3, 1, 7]]"
340,340,[CH3:1][C:2]([CH3:3])([F:4])[N+:5](=[O:6])[O-:7].[H-:8],"[[3, 1, 7], [3, 1, 0, 7]]"
342,342,[CH3:1][CH2:2][C@@H:3]([F:4])[N+:5](=[O:6])[O-:7].[H-:8],"[[3, 2, 7], [3, 2, 1, 7]]"
343,343,[CH3:1][CH2:2][C@@:3]([CH3:4])([F:5])[C:6]#[N:7].[H-:8],"[[4, 2, 7], [4, 2, 1, 7]]"
344,344,[CH3:1][CH2:2][C@@:3]([CH3:4])([F:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[4, 2, 8], [4, 2, 1, 8]]"
345,345,[NH2:1][CH2:2][C@@H:3]([F:4])[N+:5](=[O:6])[O-:7].[H-:8],"[[3, 2, 7], [3, 2, 1, 7]]"
346,346,[CH3:1][C@@:2]([F:3])([CH2:4][NH2:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[2, 1, 8], [2, 1, 3, 8]]"
347,347,[CH3:1][C@H:2]([NH2:3])[C@@:4]([CH3:5])([Cl:6])[N+:7](=[O:8])[O-:9].[F-:10],"[[5, 3, 9], [5, 3, 1, 9]]"
350,350,[CH3:1][CH:2]([CH3:3])[C@@:4]([CH3:5])([F:6])[N+:7](=[O:8])[O-:9].[H-:10],"[[5, 3, 9], [5, 3, 1, 9]]"
351,351,[CH3:1][CH2:2][C@@:3]([NH2:4])([F:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[4, 2, 8], [4, 2, 1, 8]]"
352,352,[CH3:1][CH:2]([CH3:3])[C@@:4]([CH3:5])([Cl:6])[N+:7](=[O:8])[O-:9].[F-:10],"[[5, 3, 9], [5, 3, 1, 9]]"
353,353,[CH3:1][CH2:2][C@@:3]([CH3:4])([Cl:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[4, 2, 8], [4, 2, 1, 8]]"
355,355,[CH3:1][C@@H:2]([NH2:3])[C@@:4]([CH3:5])([F:6])[N+:7](=[O:8])[O-:9].[H-:10],"[[5, 3, 9], [5, 3, 1, 9]]"
357,357,[CH3:1][C@@H:2]([NH2:3])[C@@H:4]([CH3:5])[F:6].[H-:7],"[[5, 3, 6], [5, 3, 1, 6]]"
358,358,[CH3:1][C@@H:2]([NH2:3])[F:4].[H-:5],"[[3, 1, 4], [3, 1, 0, 4]]"
359,359,[CH3:1][C@@:2]([NH2:3])([F:4])[N+:5](=[O:6])[O-:7].[H-:8],"[[3, 1, 7], [3, 1, 0, 7]]"
360,360,[CH3:1][C@@:2]([NH2:3])([Cl:4])[N+:5](=[O:6])[O-:7].[H-:8],"[[3, 1, 0, 7], [3, 1, 7]]"
361,361,[CH3:1][C@@:2]([NH2:3])([Cl:4])[N+:5](=[O:6])[O-:7].[F-:8],"[[3, 1, 7], [3, 1, 0, 7]]"
362,362,[CH3:1][C@@:2]([NH2:3])([Br:4])[N+:5](=[O:6])[O-:7].[H-:8],"[[3, 1, 7], [3, 1, 0, 7]]"
363,363,[CH3:1][CH2:2][C@@:3]([NH2:4])([Cl:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[4, 2, 1, 8], [4, 2, 8]]"
364,364,[CH3:1][CH2:2][C@@:3]([CH3:4])([Cl:5])[N+:6](=[O:7])[O-:8].[Cl-:9],"[[4, 2, 1, 8], [4, 2, 8]]"
368,368,[NH2:1][CH2:2][C@@:3]([NH2:4])([Cl:5])[N+:6](=[O:7])[O-:8].[F-:9],"[[4, 2, 1, 8], [4, 2, 8]]"
370,370,[N:1]#[C:2][C@:3]([NH2:4])([Cl:5])[CH2:6][N+:7](=[O:8])[O-:9].[F-:10],"[[4, 2, 9], [4, 2, 5, 9]]"
371,371,[NH2:1][C@@:2]([Cl:3])([CH2:4][N+:5](=[O:6])[O-:7])[N+:8](=[O:9])[O-:10].[F-:11],"[[2, 1, 10], [2, 1, 3, 10]]"
372,372,[NH2:1][CH2:2][C@@:3]([NH2:4])([Cl:5])[N+:6](=[O:7])[O-:8].[H-:9],"[[4, 2, 1, 8], [4, 2, 8]]"
374,374,[N:1]#[C:2][CH2:3][C@@:4]([NH2:5])([Cl:6])[N+:7](=[O:8])[O-:9].[H-:10],"[[5, 3, 9], [5, 3, 2, 9]]"
376,376,[CH3:1][C@@H:2]([NH2:3])[C@@:4]([NH2:5])([Cl:6])[N+:7](=[O:8])[O-:9].[H-:10],"[[5, 3, 1, 9], [5, 3, 9]]"
377,377,[N:1]#[C:2][C@@:3]([F:4])([CH:5]([NH2:6])[NH2:7])[N+:8](=[O:9])[O-:10].[H-:11],"[[3, 2, 10], [3, 2, 4, 10]]"
378,378,[N:1]#[C:2][C@:3]([NH2:4])([F:5])[CH:6]([NH2:7])[NH2:8].[H-:9],"[[4, 2, 8], [4, 2, 5, 8]]"
379,379,[NH2:1][CH:2]([NH2:3])[C@@:4]([NH2:5])([F:6])[N+:7](=[O:8])[O-:9].[H-:10],"[[5, 3, 9], [5, 3, 1, 9]]"
380,380,[NH2:1][CH:2]([NH2:3])[C@@H:4]([NH2:5])[Cl:6].[H-:7],"[[5, 3, 6], [5, 3, 1, 6]]"
381,381,[CH3:1][C@:2]([NH2:3])([Cl:4])[CH:5]([NH2:6])[NH2:7].[H-:8],"[[3, 1, 7], [3, 1, 4, 7]]"
382,382,[CH3:1][C@@H:2]([F:3])[C:4]#[N:5].[H-:6],"[[2, 1, 5], [2, 1, 0, 5]]"
383,383,[CH3:1][C@@H:2]([NH2:3])[C@@H:4]([F:5])[C:6]#[N:7].[H-:8],"[[4, 3, 7], [4, 3, 1, 7]]"
384,384,[CH3:1][C@@H:2]([C:3]#[N:4])[C@@H:5]([F:6])[C:7]#[N:8].[F-:9],"[[5, 4, 8], [5, 4, 1, 8]]"
385,385,[CH3:1][CH2:2][C:3]([F:4])([C:5]#[N:6])[C:7]#[N:8].[F-:9],"[[3, 2, 8], [3, 2, 1, 8]]"
386,386,[CH3:1][CH2:2][C@@H:3]([F:4])[C:5]#[N:6].[F-:7],"[[3, 2, 6], [3, 2, 1, 6]]"
387,387,[CH3:1][CH2:2][C@@H:3]([Cl:4])[N+:5](=[O:6])[O-:7].[H-:8],"[[3, 2, 1, 7], [3, 2, 7]]"
389,389,[CH3:1][CH:2]([CH3:3])[C@@H:4]([Cl:5])[C:6]#[N:7].[F-:8],"[[4, 3, 7], [4, 3, 1, 7]]"
390,390,[CH3:1][CH2:2][C@@H:3]([Cl:4])[C:5]#[N:6].[F-:7],"[[3, 2, 6], [3, 2, 1, 6]]"
391,391,[CH3:1][C@@H:2]([Cl:3])[C:4]#[N:5].[Cl-:6],"[[2, 1, 0, 5], [2, 1, 5]]"
392,392,[CH3:1][CH2:2][C@@H:3]([Br:4])[N+:5](=[O:6])[O-:7].[Cl-:8],"[[3, 2, 1, 7], [3, 2, 7]]"
395,395,[N:1]#[C:2][C@H:3]([NH2:4])[C@@H:5]([Cl:6])[C:7]#[N:8].[Cl-:9],"[[5, 4, 2, 8], [5, 4, 8]]"
398,398,[CH3:1][C@H:2]([Cl:3])[CH2:4][NH2:5].[Br-:6],"[[2, 1, 3, 5], [2, 1, 5]]"
401,401,[N:1]#[C:2][CH:3]([C:4]#[N:5])[C@@H:6]([F:7])[C:8]#[N:9].[F-:10],"[[6, 5, 2, 9], [6, 5, 9]]"
402,402,[CH3:1][CH2:2][C@@H:3]([F:4])[C:5]#[N:6].[Cl-:7],"[[3, 2, 1, 6], [3, 2, 6]]"
403,403,[CH3:1][C@@H:2]([F:3])[C:4]#[N:5].[F-:6],"[[2, 1, 5], [2, 1, 0, 5]]"
404,404,[CH3:1][CH2:2][C@@H:3]([Cl:4])[C:5]#[N:6].[Br-:7],"[[3, 2, 1, 6], [3, 2, 6]]"
406,406,[CH3:1][C@H:2]([C:3]#[N:4])[C@@H:5]([Cl:6])[C:7]#[N:8].[Cl-:9],"[[5, 4, 1, 8], [5, 4, 8]]"
407,407,[CH3:1][CH2:2][C@H:3]([CH3:4])[Cl:5].[Cl-:6],"[[4, 2, 1, 5], [4, 2, 5]]"
408,408,[CH3:1][CH2:2][CH2:3][Br:4].[H-:5],"[[3, 2, 1, 4], [3, 2, 4]]"
